ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Rupa-384-1-3,Rupa-384-1,rə-pʰyŋ-ʥi,18,false,expert,,dʑ i,,,3
Shergaon-384-1-1,Shergaon-384-1,ru-pʰuŋ-ʥi,41,false,expert,,r u,,,1
Shergaon-384-1-2,Shergaon-384-1,ru-pʰuŋ-ʥi,40,false,expert,,pʰ u ŋ,,,2
Shergaon-384-1-3,Shergaon-384-1,ru-pʰuŋ-ʥi,18,false,expert,,dʑ i,,,3
Khoina-425-1-1,Khoina-425-1,tʰɔː-mø-ʥi,44,false,expert,,tʰ ɔː -,,,1
Khoina-425-1-2,Khoina-425-1,tʰɔː-mø-ʥi,43,false,expert,,m ø,,,2
Khoina-425-1-3,Khoina-425-1,tʰɔː-mø-ʥi,18,false,expert,,dʑ i,,,3
Jerigaon-425-1-1,Jerigaon-425-1,tʰɔ̃ŋ-ʥi,44,false,expert,,tʰ ɔ̃ ŋ,,,1
Jerigaon-425-1-2,Jerigaon-425-1,tʰɔ̃ŋ-ʥi,18,false,expert,,dʑ i,,,2
Rahung-425-1-1,Rahung-425-1,tʰə-mø-ʥi,44,false,expert,,tʰ ə -,,,1
Rahung-425-1-2,Rahung-425-1,tʰə-mø-ʥi,43,false,expert,,m ø,,,2
Rahung-425-1-3,Rahung-425-1,tʰə-mø-ʥi,18,false,expert,,dʑ i,,,3
Rupa-425-1-1,Rupa-425-1,møˀ,43,false,expert,,m øˀ,,,1
Shergaon-425-1-1,Shergaon-425-1,meˀ,43,false,expert,,m eˀ,,,1
Khispi-426-1-1,Khispi-426-1,ɕɛl-pi,47,false,expert,,ɕ ɛ l,,,1
Khispi-426-1-2,Khispi-426-1,ɕɛl-pi,48,false,expert,,p i,,,2
Khoina-426-1-1,Khoina-426-1,ʂɛ̃ː(n)-ʥi,47,false,expert,,ʂ ɛ̃ː (n)/n,,,1
Khoina-426-1-2,Khoina-426-1,ʂɛ̃ː(n)-ʥi,48,false,expert,,dʑ i,,,2
Jerigaon-426-1-1,Jerigaon-426-1,sɛ̃ː(n)-ʥi,47,false,expert,,s ɛ̃ː (n)/n,,,1
Jerigaon-426-1-2,Jerigaon-426-1,sɛ̃ː(n)-ʥi,48,false,expert,,dʑ i,,,2
Rahung-426-1-1,Rahung-426-1,sɛ̃ː(n)-ʥi,47,false,expert,,s ɛ̃ː (n)/n,,,1
Rahung-426-1-2,Rahung-426-1,sɛ̃ː(n)-ʥi,48,false,expert,,dʑ i,,,2
Rupa-426-1-1,Rupa-426-1,sɛ̃ː(n)-ʥi,47,false,expert,,s ɛ̃ː (n)/n,,,1
Rupa-426-1-2,Rupa-426-1,sɛ̃ː(n)-ʥi,48,false,expert,,dʑ i,,,2
Khispi-499-1-1,Khispi-499-1,tʰje-maŋ-bi,50,false,expert,,tʰ j e -,,,1
Khispi-499-1-2,Khispi-499-1,tʰje-maŋ-bi,51,false,expert,,m a ŋ,,,2
Khispi-499-1-3,Khispi-499-1,tʰje-maŋ-bi,18,false,expert,,b i,,,3
Duhumbi-499-1-1,Duhumbi-499-1,tʰɛm-baŋ-pa,50,false,expert,,tʰ ɛ m,,,1
Duhumbi-499-1-2,Duhumbi-499-1,tʰɛm-baŋ-pa,51,false,expert,,b a ŋ,,,2
Duhumbi-499-1-3,Duhumbi-499-1,tʰɛm-baŋ-pa,18,false,expert,,p a,,,3
Khoina-499-1-1,Khoina-499-1,tʰɛm-baŋ-ʥi,50,false,expert,,tʰ ɛ m,,,1
Khoina-499-1-2,Khoina-499-1,tʰɛm-baŋ-ʥi,51,false,expert,,b a ŋ,,,2
Khoina-499-1-3,Khoina-499-1,tʰɛm-baŋ-ʥi,18,false,expert,,dʑ i,,,3
Jerigaon-499-1-1,Jerigaon-499-1,tʰəbang-ʥi,50,false,expert,,tʰ ə -,,,1
Jerigaon-499-1-2,Jerigaon-499-1,tʰəbang-ʥi,51,false,expert,,b a ŋ,,,2
Jerigaon-499-1-3,Jerigaon-499-1,tʰəbang-ʥi,53,false,expert,,dʑ i,,,3
Rahung-499-1-1,Rahung-499-1,tʰam-baŋ-ʥi,50,false,expert,,tʰ a m,,,1
Rahung-499-1-2,Rahung-499-1,tʰam-baŋ-ʥi,51,false,expert,,b a ŋ,,,2
Rahung-499-1-3,Rahung-499-1,tʰam-baŋ-ʥi,18,false,expert,,dʑ i,,,3
Khispi-6-1-1,Khispi-6-1,-lɔ,55,false,expert,,l ɔ,,,1
Duhumbi-6-1-1,Duhumbi-6-1,-lɔˀ,55,false,expert,,l ɔˀ,,,1
Khoina-6-1-1,Khoina-6-1,-lɔ,55,false,expert,,l ɔ,,,1
Jerigaon-6-1-1,Jerigaon-6-1,-lɔ,55,false,expert,,l ɔ,,,1
Khoitam-6-1-1,Khoitam-6-1,-lɔ,55,false,expert,,l ɔ,,,1
Rahung-6-1-1,Rahung-6-1,-rɔ,55,false,expert,,r ɔ,,,1
Rupa-6-1-1,Rupa-6-1,-lɔ,55,false,expert,,l ɔ,,,1
Shergaon-6-1-1,Shergaon-6-1,-lɔ,55,false,expert,,l ɔ,,,1
Khispi-7-1-1,Khispi-7-1,ʨʰaŋ,58,false,expert,,tɕʰ a ŋ,,,1
Duhumbi-7-1-1,Duhumbi-7-1,ʨʰaŋ,58,false,expert,,tɕʰ a ŋ,,,1
Khoina-7-1-1,Khoina-7-1,a-ʦʰɔ̃ː(ŋ),56,false,expert,,a,,,1
Khoina-7-1-2,Khoina-7-1,a-ʦʰɔ̃ː(ŋ),58,false,expert,,tsʰ ɔ̃ː (ŋ)/ŋ,,,2
Jerigaon-7-1-1,Jerigaon-7-1,a-ʨʰɔ̃ː(ŋ),56,false,expert,,a,,,1
Jerigaon-7-1-2,Jerigaon-7-1,a-ʨʰɔ̃ː(ŋ),58,false,expert,,tɕʰ ɔ̃ː (ŋ)/ŋ,,,2
Khoitam-7-1-1,Khoitam-7-1,a-ʨʰũː(ŋ),56,false,expert,,a,,,1
Khoitam-7-1-2,Khoitam-7-1,a-ʨʰũː(ŋ),58,false,expert,,tɕʰ ũː (ŋ)/ŋ,,,2
Khispi-8-1-1,Khispi-8-1,man,59,false,expert,,m a n,,,1
Duhumbi-8-1-1,Duhumbi-8-1,man,59,false,expert,,m a n,,,1
Khoina-8-1-1,Khoina-8-1,mɐ̃ː,59,false,expert,,m ɐ̃ː -,,,1
