ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT	STRUCTURE	CROSSIDS	MORPHEMES	C_STRUCTURE	PATTERNS
2148	Jerigaon	knee	knee	la-pʰyk kɹiː	la+pʰyk_kɹiː	l a + pʰ y k _ k ɹ iː		156 588 169	590 588 589	l a + pʰ !y k + k ɹ iː	i n + i n c + i m n	156 588 169	knee knee knee	c c + c c c + c c c	98-38/l 584-2/a + 467-23/pʰ 85-1/Ø 691-69/k + 691-69/k 522-8/ɹ 421-2/Ø
2149	Khoitam	knee	knee	lə-pʰik-kʰɔm ~ lə-kʰyk-kʰɔm	lə+pʰik+kʰɔm	l ə + pʰ i k + kʰ ɔ m		156 588 589	590 588 589	l ə + pʰ !i k + !kʰ !ɔ m	i n + i n c + i n c	156 588 589	knee knee pillow	c c + c c c + c c c	98-38/l 584-2/a + 467-23/pʰ 85-1/Ø 691-69/k + 35-1/kʰ 535-1/u 153-11/m
2150	Rahung	knee	knee	la-pʰik-kʰɔm ~ la-pʰik-kʰøm	la+pʰik+kʰɔm	l a + pʰ i k + kʰ ɔ m		156 588 589	590 588 589	l a + pʰ !i k + !kʰ !ɔ m	i n + i n c + i n c	156 588 589	knee knee pillow	c c + c c c + c c c	98-38/l 584-2/a + 467-23/pʰ 85-1/Ø 691-69/k + 35-1/kʰ 535-1/u 153-11/m
2151	Rupa	knee	knee	lə-pʰyk ~ lə-fyk	lə+pʰyk	l ə + pʰ y k		156 588	590 588	l ə + pʰ !y k	i n + i n c	156 588	knee knee	c c + c c c	98-38/l 584-2/a + 467-23/pʰ 85-1/Ø 691-69/k
2152	Shergaon	knee	knee	kʰlɔk-puː	kʰlɔk+puː	kʰ l ɔ k + p uː		591 151	591 588	kʰ l ɔ k + p uː	i m n c + i n	591 28	knee pa-suffix1	c c c c + c c	97-2/k 747-5/- 538-2/ɔː 143-3/- + 327-8/p 753-2/a
2153	Khispi	know	know	dɛn	dɛn	d ɛ n		593	593	d ɛ n	i n c	593	know	c c c	761-25/d 697-11/ɛ 715-37/n
2154	Duhumbi	know	know	dɛn	dɛn	d ɛ n		593	593	d ɛ n	i n c	593	know	c c c	761-25/d 697-11/ɛ 715-37/n
2155	Khoina	know	know	dɛn	dɛn	d ɛ n		593	593	d ɛ n	i n c	593	know	c c c	761-25/d 697-11/ɛ 715-37/n
2156	Jerigaon	know	know	dɛn	dɛn	d ɛ n		593	593	d ɛ n	i n c	593	know	c c c	761-25/d 697-11/ɛ 715-37/n
2157	Khoitam	know	know	dan	dan	d a n		593	593	d a n	i n c	593	know	c c c	761-25/d 697-11/ɛ 715-37/n
2158	Rahung	know	know	dɛn	dɛn	d ɛ n		593	593	d ɛ n	i n c	593	know	c c c	761-25/d 697-11/ɛ 715-37/n
2159	Rupa	know	know	dan	dan	d a n		593	593	d a n	i n c	593	know	c c c	761-25/d 697-11/ɛ 715-37/n
2160	Shergaon	know	know	dan	dan	d a n		593	593	d a n	i n c	593	know	c c c	761-25/d 697-11/ɛ 715-37/n
2161	Khispi	ladder	ladder	luŋ-tʰuŋ	luŋ+tʰuŋ	l u ŋ + tʰ u ŋ		594 595	594 595	l !u !ŋ + tʰ !u ŋ	i n c + i n c	594 595	ladder ladder	c c c + c c c	98-38/l 326-1/u 149-1/ŋ + 46-31/tʰ 452-1/u 349-10/ŋ
2162	Duhumbi	ladder	ladder	luŋ-tʰuŋ	luŋ+tʰuŋ	l u ŋ + tʰ u ŋ		594 595	594 595	l !u !ŋ + tʰ !u ŋ	i n c + i n c	594 595	ladder ladder	c c c + c c c	98-38/l 326-1/u 149-1/ŋ + 46-31/tʰ 452-1/u 349-10/ŋ
2163	Khoina	ladder	ladder	la-tʰøː	la+tʰøː	l a + tʰ øː		594 595	594 595	l !a !- + tʰ !øː -	i n + i n	594 595	ladder ladder	c c + c c	98-38/l 326-1/u 149-1/ŋ + 46-31/tʰ 452-1/u 349-10/ŋ
2164	Jerigaon	ladder	ladder	lə-tʰøː	lə+tʰøː	l ə + tʰ øː		594 595	594 595	l !ə !- + tʰ !øː -	i n + i n	594 595	ladder ladder	c c + c c	98-38/l 326-1/u 149-1/ŋ + 46-31/tʰ 452-1/u 349-10/ŋ
2165	Khoitam	ladder	ladder	liŋ-tʰĩː	liŋ+tʰĩː	l i ŋ + tʰ ĩː		594 595	594 595	l !i !ŋ + tʰ !ĩː -	i n c + i n	594 595	ladder ladder	c c c + c c	98-38/l 326-1/u 149-1/ŋ + 46-31/tʰ 452-1/u 349-10/ŋ
2166	Rahung	ladder	ladder	lan-tʰyː	lan+tʰyː	l a n + tʰ yː		594 595	594 595	l !a !n + tʰ !yː -	i n c + i n	594 595	ladder ladder	c c c + c c	98-38/l 326-1/u 149-1/ŋ + 46-31/tʰ 452-1/u 349-10/ŋ
2167	Rupa	ladder	ladder	lə-tʰøː ~ də-tʰøː	lə+tʰøː	l ə + tʰ øː		594 595	594 595	l !ə !- + tʰ !øː -	i n + i n	594 595	ladder ladder	c c + c c	98-38/l 326-1/u 149-1/ŋ + 46-31/tʰ 452-1/u 349-10/ŋ
2168	Shergaon	ladder	ladder	lə-tʰøː	lə+tʰøː	l ə + tʰ øː		594 595	594 595	l !ə !- + tʰ !øː -	i n + i n	594 595	ladder ladder	c c + c c	98-38/l 326-1/u 149-1/ŋ + 46-31/tʰ 452-1/u 349-10/ŋ
2169	Khispi	language	language	ŋak ~ ŋap	ŋak	ŋ a k		596	596	ŋ !a k	i n c	596	language	c c c	631-3/ŋ 42-1/a 713-3/k
2170	Duhumbi	language	language	ŋak ~ ŋap	ŋak	ŋ a k		596	596	ŋ !a k	i n c	596	language	c c c	631-3/ŋ 42-1/a 713-3/k
2171	Khoina	language	language	nɔ	nɔ	n ɔ		596	596	n !ɔ -	i n	596	language	c c	631-3/ŋ 42-1/a 713-3/k
2172	Jerigaon	language	language	nu ~ nɔ	nu	n u		596	596	n !u -	i n	596	language	c c	631-3/ŋ 42-1/a 713-3/k
2173	Khoitam	language	language	nu	nu	n u		596	596	n !u -	i n	596	language	c c	631-3/ŋ 42-1/a 713-3/k
2174	Rahung	language	language	nuk	nuk	n u k		596	596	n !u k	i n c	596	language	c c c	631-3/ŋ 42-1/a 713-3/k
2175	Rupa	language	language	ɲuk ~ ɲu	ɲuk	ɲ u k		596	596	ɲ !u k	i n c	596	language	c c c	631-3/ŋ 42-1/a 713-3/k
2176	Shergaon	language	language	ɲɔ	ɲɔ	ɲ ɔ		596	596	ɲ !ɔ -	i n	596	language	c c	631-3/ŋ 42-1/a 713-3/k
2177	Khispi	langur	langur	ɕa-ʑa ~ sa-ʑat	ɕa+ʑa	ɕ a + ʑ a		597 598	597 598	ɕ a + ʑ a !-	i n + i n	597 598	langur langur	c c + c c	575-1/ɕ 30-2/a + 339-4/ʑ 779-8/a 39-1/t
2178	Duhumbi	langur	langur	ɕa-ʑɛt ~ ɕa-ʑɛˀ	ɕa+ʑɛt	ɕ a + ʑ ɛ t		597 598	597 598	ɕ a + ʑ !ɛ/a !t	i n + i n c	597 598	langur langur	c c + c c c	575-1/ɕ 30-2/a + 339-4/ʑ 779-8/a 39-1/t
2179	Khoina	langur	langur	zə-zu	zə+zu	z ə + z u		597 598	597 598	!z/ʐ ə + z u !-	i n + i n	597 598	langur langur	c c + c c	575-1/ɕ 30-2/a + 339-4/ʑ 779-8/a 39-1/t
2180	Jerigaon	langur	langur	zə-zu	zə+zu	z ə + z u		597 598	597 598	z ə + z u !-	i n + i n	597 598	langur langur	c c + c c	575-1/ɕ 30-2/a + 339-4/ʑ 779-8/a 39-1/t
2181	Khoitam	langur	langur	zə-zu ~ ʥə-zu	zə+zu	z ə + z u		597 598	597 598	z ə + z u !-	i n + i n	597 598	langur langur	c c + c c	575-1/ɕ 30-2/a + 339-4/ʑ 779-8/a 39-1/t
2182	Rahung	langur	langur	zu	zu	z u		598	597	z u !-	i n	598	langur	c c	339-4/ʑ 779-8/a 39-1/t
2183	Rupa	langur	langur	zə-zu	zə+zu	z ə + z u		597 598	597 598	z ə + z u !-	i n + i n	597 598	langur langur	c c + c c	575-1/ɕ 30-2/a + 339-4/ʑ 779-8/a 39-1/t
2184	Shergaon	langur	langur	zu	zu	z u		598	597	z u !-	i n	598	langur	c c	339-4/ʑ 779-8/a 39-1/t
2185	Khispi	lap	lap	de-ma	de+ma	d e + m a		599 600	599 600	d !e !- + m a	i n + i n	599 600	lap lap	c c + c c	761-25/d 164-1/ɛ 471-1/m + 0/n 0/n
2186	Duhumbi	lap	lap	dɛm	dɛm	d ɛ m		599	599	d !ɛ !m	i n c	599	lap	c c c	761-25/d 164-1/ɛ 471-1/m
2187	Khoina	lap	lap	dɛ̃ː	dɛ̃ː	d ɛ̃ː		599	599	d !ɛ̃ː !-	i n	599	lap	c c	761-25/d 164-1/ɛ 471-1/m
2188	Jerigaon	lap	lap	dɛ̃ĩ	dɛ̃ĩ	d ɛ̃ĩ		599	599	d !ɛ̃ĩ !-	i n	599	lap	c c	761-25/d 164-1/ɛ 471-1/m
2189	Khoitam	lap	lap	dĩː	dĩː	d ĩː		599	599	d !ĩː !-	i n	599	lap	c c	761-25/d 164-1/ɛ 471-1/m
2190	Rahung	lap	lap	dĩː	dĩː	d ĩː		599	599	d !ĩː !-	i n	599	lap	c c	761-25/d 164-1/ɛ 471-1/m
2191	Rupa	lap	lap	dɛ̃ː	dɛ̃ː	d ɛ̃ː		599	599	d !ɛ̃ː !-	i n	599	lap	c c	761-25/d 164-1/ɛ 471-1/m
2192	Shergaon	lap	lap	dɛ̃ː	dɛ̃ː	d ɛ̃ː		599	599	d !ɛ̃ː !-	i n	599	lap	c c	761-25/d 164-1/ɛ 471-1/m
2194	Duhumbi	late (vi)	late (vi)	jɔt	jɔt	j ɔ t		601	601	j !ɔ/ɛ t	i n c	601	latevi	c c c	730-19/j 591-4/ɛ 206-7/t
2196	Jerigaon	late (vi)	late (vi)	jeˀ	jeˀ	j eˀ		601	601	j eˀ -	i n	601	latevi	c c	730-19/j 591-4/ɛ 206-7/t
2197	Khoitam	late (vi)	late (vi)	jeˀ	jeˀ	j eˀ		601	601	j eˀ -	i n	601	latevi	c c	730-19/j 591-4/ɛ 206-7/t
2198	Rahung	late (vi)	late (vi)	jeˀ	jeˀ	j eˀ		601	601	j eˀ -	i n	601	latevi	c c	730-19/j 591-4/ɛ 206-7/t
2199	Rupa	late (vi)	late (vi)	jeˀ	jeˀ	j eˀ		601	601	j eˀ -	i n	601	latevi	c c	730-19/j 591-4/ɛ 206-7/t
2201	Khispi	laugh	laugh	ʑej ~ ʑe	ʑej	ʑ e j		602	602	ʑ e j	i n c	602	laugh	c c c	613-12/ʑ 738-3/ɛ 722-40/j
2202	Duhumbi	laugh	laugh	ʑɛj	ʑɛj	ʑ ɛ j		602	602	ʑ ɛ j	i n c	602	laugh	c c c	613-12/ʑ 738-3/ɛ 722-40/j
2203	Khoina	laugh	laugh	ʐaː	ʐaː	ʐ aː		602	602	ʐ aː -	i n	602	laugh	c c	613-12/ʑ 738-3/ɛ 722-40/j
2204	Jerigaon	laugh	laugh	zɛ ~ zaː	zɛ	z ɛ		602	602	z !ɛ/ɛː -	i n	602	laugh	c c	613-12/ʑ 738-3/ɛ 722-40/j
2205	Khoitam	laugh	laugh	zɛː	zɛː	z ɛː		602	602	z ɛː -	i n	602	laugh	c c	613-12/ʑ 738-3/ɛ 722-40/j
2206	Rahung	laugh	laugh	zɛː	zɛː	z ɛː		602	602	z ɛː -	i n	602	laugh	c c	613-12/ʑ 738-3/ɛ 722-40/j
2207	Rupa	laugh	laugh	zaː	zaː	z aː		602	602	z aː -	i n	602	laugh	c c	613-12/ʑ 738-3/ɛ 722-40/j
2208	Shergaon	laugh	laugh	zaː	zaː	z aː		602	602	z aː -	i n	602	laugh	c c	613-12/ʑ 738-3/ɛ 722-40/j
2209	Khispi	leaf	leaf	u-lap	u+lap	u + l a p		604 603	604 603	- u + l a p	n + i n c	56 603	u/a-prefix leaf	c + c c c	242-2/u 0/n + 603-4/l 654-3/a 630-2/p
2210	Duhumbi	leaf	leaf	u-lap	u+lap	u + l a p		604 603	604 603	- u + l a p	n + i n c	56 603	u/a-prefix leaf	c + c c c	242-2/u 0/n + 603-4/l 654-3/a 630-2/p
2211	Khoina	leaf	leaf	a-la	a+la	a + l a		604 603	604 603	- a + l a -	n + i n	56 603	u/a-prefix leaf	c + c c	242-2/u 0/n + 603-4/l 654-3/a 630-2/p
2212	Jerigaon	leaf	leaf	a-lɛˀ	a+lɛˀ	a + l ɛˀ		604 603	604 603	- a + l ɛˀ -	n + i n	56 603	u/a-prefix leaf	c + c c	242-2/u 0/n + 603-4/l 654-3/a 630-2/p
2213	Khoitam	leaf	leaf	a-rap	a+rap	a + r a p		604 603	604 603	- a + r a p	n + i n c	56 603	u/a-prefix leaf	c + c c c	242-2/u 0/n + 603-4/l 654-3/a 630-2/p
2214	Rahung	leaf	leaf	a-rap	a+rap	a + r a p		604 603	604 603	- a + r a p	n + i n c	56 603	u/a-prefix leaf	c + c c c	242-2/u 0/n + 603-4/l 654-3/a 630-2/p
2215	Rupa	leaf	leaf	a-lap	a+lap	a + l a p		604 603	604 603	- a + l a p	n + i n c	56 603	u/a-prefix leaf	c + c c c	242-2/u 0/n + 603-4/l 654-3/a 630-2/p
2216	Shergaon	leaf	leaf	a-lap	a+lap	a + l a p		604 603	604 603	- a + l a p	n + i n c	56 603	u/a-prefix leaf	c + c c c	242-2/u 0/n + 603-4/l 654-3/a 630-2/p
2217	Khispi	leaf litter	leaf litter	sum-ba	sum+ba	s u m + b a		606 605	606 605	s !u !m + b !a	i n c + i n	606 605	leaflitter leaflitter	c c c + c c	447-18/s 279-1/u 530-1/m + 694-32/b 347-1/aˀ
2218	Duhumbi	leaf litter	leaf litter	sum-baˀ	sum+baˀ	s u m + b aˀ		606 605	606 605	s !u !m + b !aˀ	i n c + i n	606 605	leaflitter leaflitter	c c c + c c	447-18/s 279-1/u 530-1/m + 694-32/b 347-1/aˀ
2219	Khoina	leaf litter	leaf litter	sɔɹ-bɔ	sɔɹ+bɔ	s ɔ ɹ + b ɔ		606 605	606 605	s !ɔ !ɹ + b !ɔ	i n c + i n	606 605	leaflitter leaflitter	c c c + c c	447-18/s 279-1/u 530-1/m + 694-32/b 347-1/aˀ
2220	Jerigaon	leaf litter	leaf litter	sɔɹ-bɔ	sɔɹ+bɔ	s ɔ ɹ + b ɔ		606 605	606 605	s !ɔ !ɹ + b !ɔ	i n c + i n	606 605	leaflitter leaflitter	c c c + c c	447-18/s 279-1/u 530-1/m + 694-32/b 347-1/aˀ
2221	Khoitam	leaf litter	leaf litter	su-bɔ	su+bɔ	s u + b ɔ		606 605	606 605	s !u !- + b !ɔ	i n + i n	606 605	leaflitter leaflitter	c c + c c	447-18/s 279-1/u 530-1/m + 694-32/b 347-1/aˀ
2222	Rahung	leaf litter	leaf litter	sə-boː	sə+boː	s ə + b oː		606 605	606 605	s !ə !- + b !oː	i n + i n	606 605	leaflitter leaflitter	c c + c c	447-18/s 279-1/u 530-1/m + 694-32/b 347-1/aˀ
2223	Rupa	leaf litter	leaf litter	sɔɹ-bɔ	sɔɹ+bɔ	s ɔ ɹ + b ɔ		606 605	606 605	s !ɔ !ɹ + b !ɔ	i n c + i n	606 605	leaflitter leaflitter	c c c + c c	447-18/s 279-1/u 530-1/m + 694-32/b 347-1/aˀ
2224	Shergaon	leaf litter	leaf litter	sɛj-bu	sɛj+bu	s ɛ j + b u		606 605	606 605	s !ɛ !j + b !u	i n c + i n	606 605	leaflitter leaflitter	c c c + c c	447-18/s 279-1/u 530-1/m + 694-32/b 347-1/aˀ
2225	Khispi	leech, land	leech, land	pat-pa	pat+pa	p a t + p a		212 194	608 607	p a t + !p !a	i n c + i n	212 32	leechland pa-suffix2	c c c + c c	327-8/p 633-69/a 112-24/t + 54-1/p 268-1/a
2226	Duhumbi	leech, land	leech, land	pat-pa	pat+pa	p a t + p a		212 194	608 607	p a t + !p !a	i n c + i n	212 32	leechland pa-suffix2	c c c + c c	327-8/p 633-69/a 112-24/t + 54-1/p 268-1/a
2227	Khoina	leech, land	leech, land	pʰa-wɛ	pʰa+wɛ	pʰ a + w ɛ		608 607	608 607	pʰ !a + w ɛ !-	i n + i n	608 607	leechland leechland	c c + c c	467-23/pʰ 364-1/Ø + 569-6/b 697-11/ɛ 695-1/Ø
2228	Jerigaon	leech, land	leech, land	pʰy-wɛ	pʰy+wɛ	pʰ y + w ɛ		608 607	608 607	pʰ !y + w ɛ !-	i n + i n	608 607	leechland leechland	c c + c c	467-23/pʰ 364-1/Ø + 569-6/b 697-11/ɛ 695-1/Ø
2229	Khoitam	leech, land	leech, land	pʰu-wap	pʰu+wap	pʰ u + w a p		608 607	608 607	pʰ !u + w a !p	i n + i n c	608 607	leechland leechland	c c + c c c	467-23/pʰ 364-1/Ø + 569-6/b 697-11/ɛ 695-1/Ø
2230	Rahung	leech, land	leech, land	pʰə-pʰɛ	pʰə+pʰɛ	pʰ ə + pʰ ɛ		608 607	608 607	pʰ !ə + !pʰ/w ɛ !-	i n + i n	608 607	leechland leechland	c c + c c	467-23/pʰ 364-1/Ø + 569-6/b 697-11/ɛ 695-1/Ø
2231	Rupa	leech, land	leech, land	pʰu-wat	pʰu+wat	pʰ u + w a t		608 607	608 607	pʰ !u + w a !t	i n + i n c	608 607	leechland leechland	c c + c c c	467-23/pʰ 364-1/Ø + 569-6/b 697-11/ɛ 695-1/Ø
2232	Shergaon	leech, land	leech, land	pat-pu	pat+pu	p a t + p u		212 194	608 607	p a t + !p !u	i n c + i n	212 32	leechland pa-suffix2	c c c + c c	327-8/p 633-69/a 112-24/t + 54-1/p 268-1/a
2233	Khispi	leech, water	leech, water	pʰu-tis	pʰu+tis	pʰ u + t i s		610 609	610 609	pʰ u + t !- i !s/k	i n + i n c	570 609	insect leechwater	c c + c c c	467-23/pʰ 451-23/u + 391-2/tɕ 551-1/Ø 649-32/i 691-69/k
2235	Khoina	leech, water	leech, water	di-ʦʰik	di+ʦʰik	d i + tsʰ i k		220 609	611 609	d i + tsʰ !- i k	i n + i n c	220 609	leechwater leechwater	c c + c c c	0/n 0/n + 391-2/tɕ 551-1/Ø 649-32/i 691-69/k
2236	Jerigaon	leech, water	leech, water	pʰyː pʰ-ʨʰik	pʰyː_pʰ+ʨʰik	pʰ yː _ pʰ + tɕʰ i k		610 216 609	610 609 609	pʰ yː + pʰ + tɕʰ !- i k	i n + i + i n c	570 216 609	insect leechwater leechwater	c c + c + c c c	467-23/pʰ 451-23/u + 467-23/pʰ + 391-2/tɕ 551-1/Ø 649-32/i 691-69/k
2237	Khoitam	leech, water	leech, water	pʰ-ʨʰik	pʰ+ʨʰik	pʰ + tɕʰ i k		216 609	610 609	pʰ + tɕʰ !- i k	i + i n c	216 609	leechwater leechwater	c + c c c	467-23/pʰ + 391-2/tɕ 551-1/Ø 649-32/i 691-69/k
2238	Rahung	leech, water	leech, water	pʰ-ʨʰik	pʰ+ʨʰik	pʰ + tɕʰ i k		216 609	610 609	pʰ + tɕʰ !- i k	i + i n c	216 609	leechwater leechwater	c + c c c	467-23/pʰ + 391-2/tɕ 551-1/Ø 649-32/i 691-69/k
2240	Shergaon	leech, water	leech, water	ʨʰin-ʨʰɹik	ʨʰin+ʨʰɹik	tɕʰ i n + tɕʰ ɹ i k		611 609	611 609	tɕʰ i n + tɕʰ !ɹ i k	i n c + i m n c	611 609	leechwater leechwater	c c c + c c c c	0/n 0/n 0/n + 391-2/tɕ 551-1/Ø 649-32/i 691-69/k
2241	Khispi	left (side)	left (side)	ɲim-lak-pa ~ ɲim-dak-pa	ɲim+lak+pa	ɲ i m + l a k + p a		618 615 614	618 615 614	ɲ i m + l a k + p a	i n c + i n c + i n	618 165 28	leftside ? pa-suffix1	c c c + c c c + c c	0/n 0/n 0/n + 98-38/l 633-69/a 691-69/k + 327-8/p 753-2/a
2242	Duhumbi	left (side)	left (side)	jɔm-lak-pa	jɔm+lak+pa	j ɔ m + l a k + p a		619 615 614	619 615 614	j ɔ m + l a k + p a	i n c + i n c + i n	619 165 28	leftside ? pa-suffix1	c c c + c c c + c c	0/n 0/n 0/n + 98-38/l 633-69/a 691-69/k + 327-8/p 753-2/a
2243	Khoina	left (side)	left (side)	a-xɛ	a+xɛ	a + x ɛ		613 612	613 612	a + !x !ɛ	n + i n	387 612	? leftside	c + c c	175-10/a + 65-1/Ø 226-1/Ø
2244	Jerigaon	left (side)	left (side)	ə-he-tɛn ~ a-he-tɛn	ə+he+tɛn	ə + h e + t ɛ n		613 612 616	613 612 616	ə + !h !e + t ɛ n	n + i n + i n c	387 612 616	? leftside leftside	c + c c + c c c	175-10/a + 65-1/Ø 226-1/Ø + 112-24/t 539-2/ɛ 485-2/Ø
2245	Khoitam	left (side)	left (side)	ə-he	ə+he	ə + h e		613 612	613 612	ə + !h !e	n + i n	387 612	? leftside	c + c c	175-10/a + 65-1/Ø 226-1/Ø
2246	Rahung	left (side)	left (side)	he-tɔ ~ he-tɛn	he+tɔ	h e + t ɔ		612 616	612 616	!h !e + t ɔ -	i n + i n	612 616	leftside leftside	c c + c c	65-1/Ø 226-1/Ø + 112-24/t 539-2/ɛ 485-2/Ø
2247	Rupa	left (side)	left (side)	bə-kʰe	bə+kʰe	b ə + kʰ e		617 612	617 612	b ə + !kʰ !e	i n + i n	501 612	? leftside	c c + c c	694-32/b 175-10/a + 65-1/Ø 226-1/Ø
2248	Shergaon	left (side)	left (side)	bə-kʰe	bə+kʰe	b ə + kʰ e		617 612	617 612	b ə + !kʰ !e	i n + i n	501 612	? leftside	c c + c c	694-32/b 175-10/a + 65-1/Ø 226-1/Ø
2249	Khispi	leg	leg	lej	lej	l e j		620	620	l e j	i n c	620	leg	c c c	98-38/l 701-3/ɛ 722-40/j
2250	Duhumbi	leg	leg	lɛj	lɛj	l ɛ j		620	620	l ɛ j	i n c	620	leg	c c c	98-38/l 701-3/ɛ 722-40/j
2251	Khoina	leg	leg	laː	laː	l aː		620	620	l aː -	i n	620	leg	c c	98-38/l 701-3/ɛ 722-40/j
2252	Jerigaon	leg	leg	lɛˀ	lɛˀ	l ɛˀ		620	620	l ɛˀ -	i n	620	leg	c c	98-38/l 701-3/ɛ 722-40/j
2253	Khoitam	leg	leg	lɛˀ	lɛˀ	l ɛˀ		620	620	l ɛˀ -	i n	620	leg	c c	98-38/l 701-3/ɛ 722-40/j
2254	Rahung	leg	leg	lɛˀ	lɛˀ	l ɛˀ		620	620	l ɛˀ -	i n	620	leg	c c	98-38/l 701-3/ɛ 722-40/j
2255	Rupa	leg	leg	laˀ	laˀ	l aˀ		620	620	l aˀ -	i n	620	leg	c c	98-38/l 701-3/ɛ 722-40/j
2256	Shergaon	leg	leg	la	la	l a		620	620	l a -	i n	620	leg	c c	98-38/l 701-3/ɛ 722-40/j
2257	Khispi	lick	lick	lak	lak	l a k		621	621	l a k	i n c	166	?	c c c	98-38/l 411-20/a 691-69/k
2258	Duhumbi	lick	lick	lak	lak	l a k		621	621	l a k	i n c	166	?	c c c	98-38/l 411-20/a 691-69/k
2259	Khoina	lick	lick	lɐk	lɐk	l ɐ k		621	621	l ɐ k	i n c	166	?	c c c	98-38/l 411-20/a 691-69/k
2260	Jerigaon	lick	lick	lɐk	lɐk	l ɐ k		621	621	l ɐ k	i n c	166	?	c c c	98-38/l 411-20/a 691-69/k
2261	Khoitam	lick	lick	lak	lak	l a k		621	621	l a k	i n c	166	?	c c c	98-38/l 411-20/a 691-69/k
2262	Rahung	lick	lick	lak	lak	l a k		621	621	l a k	i n c	166	?	c c c	98-38/l 411-20/a 691-69/k
2267	Khoina	lie (n)	lie (n)	tɛˀ	tɛˀ	t ɛˀ		622	622	t ɛˀ	i n	622	lien	c c	112-24/t 591-4/ɛ
2268	Jerigaon	lie (n)	lie (n)	s-teˀ	s+teˀ	s + t eˀ		623 622	623 622	s + t eˀ	i + i n	307 622	? lien	c + c c	124-31/ɕ + 112-24/t 591-4/ɛ
2269	Khoitam	lie (n)	lie (n)	s-teˀ	s+teˀ	s + t eˀ		623 622	623 622	s + t eˀ	i + i n	307 622	? lien	c + c c	124-31/ɕ + 112-24/t 591-4/ɛ
2270	Rahung	lie (n)	lie (n)	s-teˀ	s+teˀ	s + t eˀ		623 622	623 622	s + t eˀ	i + i n	307 622	? lien	c + c c	124-31/ɕ + 112-24/t 591-4/ɛ
2271	Rupa	lie (n)	lie (n)	s-teˀ	s+teˀ	s + t eˀ		623 622	623 622	s + t eˀ	i + i n	307 622	? lien	c + c c	124-31/ɕ + 112-24/t 591-4/ɛ
2272	Shergaon	lie (n)	lie (n)	s-teˀ	s+teˀ	s + t eˀ		623 622	623 622	s + t eˀ	i + i n	307 622	? lien	c + c c	124-31/ɕ + 112-24/t 591-4/ɛ
2273	Khispi	lift completely, carry	lift completely, carry	kʰaŋ	kʰaŋ	kʰ a ŋ		624	624	kʰ a ŋ	i n c	624	liftcompletelycarry	c c c	586-36/kʰ 633-69/a 774-83/ŋ
2274	Duhumbi	lift completely, carry	lift completely, carry	kʰaŋ	kʰaŋ	kʰ a ŋ		624	624	kʰ a ŋ	i n c	624	liftcompletelycarry	c c c	586-36/kʰ 633-69/a 774-83/ŋ
2277	Khoitam	lift completely, carry	lift completely, carry	kʰaŋ	kʰaŋ	kʰ a ŋ		624	624	kʰ a ŋ	i n c	624	liftcompletelycarry	c c c	586-36/kʰ 633-69/a 774-83/ŋ
2279	Rupa	lift completely, carry	lift completely, carry	kʰaŋ	kʰaŋ	kʰ a ŋ		624	624	kʰ a ŋ	i n c	624	liftcompletelycarry	c c c	586-36/kʰ 633-69/a 774-83/ŋ
2280	Shergaon	lift completely, carry	lift completely, carry	kʰaŋ	kʰaŋ	kʰ a ŋ		624	624	kʰ a ŋ	i n c	624	liftcompletelycarry	c c c	586-36/kʰ 633-69/a 774-83/ŋ
2281	Khispi	light	light	jaŋ-ɕɔk ~ jaŋ-kan-ma	jaŋ+ɕɔk	j a ŋ + ɕ ɔ k		628 625	628 625	j a ŋ + !ɕ/d ɔ k	i n c + i n c	184 625	? light	c c c + c c c	722-40/j 633-69/a 774-83/ŋ + 733-1/Ø 183-38/ɔ 57-2/k
2282	Duhumbi	light	light	jaŋ-pu	jaŋ+pu	j a ŋ + p u		628 629	628 629	j a ŋ + p u	i n c + i n	184 629	? light	c c c + c c	722-40/j 633-69/a 774-83/ŋ + 0/n 0/n
2283	Khoina	light	light	a-ruŋ-du	a+ruŋ+du	a + r u ŋ + d u		627 625 626	627 625 626	- a + r u ŋ + !d u	n + i n c + i n	56 625 120	u/a-prefix light da-suffix1	c + c c c + c c	242-2/u 0/n + 733-1/Ø 183-38/ɔ 57-2/k + 493-1/t 779-8/a
2284	Jerigaon	light	light	a-ruŋ-du	a+ruŋ+du	a + r u ŋ + d u		627 625 626	627 625 626	- a + r u ŋ + !d u	n + i n c + i n	56 625 120	u/a-prefix light da-suffix1	c + c c c + c c	242-2/u 0/n + 733-1/Ø 183-38/ɔ 57-2/k + 493-1/t 779-8/a
2285	Khoitam	light	light	a-ruŋ-du	a+ruŋ+du	a + r u ŋ + d u		627 625 626	627 625 626	- a + r u ŋ + !d u	n + i n c + i n	56 625 120	u/a-prefix light da-suffix1	c + c c c + c c	242-2/u 0/n + 733-1/Ø 183-38/ɔ 57-2/k + 493-1/t 779-8/a
2286	Rahung	light	light	a-ruŋ-du	a+ruŋ+du	a + r u ŋ + d u		627 625 626	627 625 626	- a + r u ŋ + !d u	n + i n c + i n	56 625 120	u/a-prefix light da-suffix1	c + c c c + c c	242-2/u 0/n + 733-1/Ø 183-38/ɔ 57-2/k + 493-1/t 779-8/a
