Gloss	Khispi	Duhumbi	Khoina	Jerigaon	Khoitam	Rahung	Rupa	Shergaon
rub; sharpen	ʑin	ʑin	ʐyː	Ø	zyː	zyː(j)	zyː	Ø
run	Ø	Ø	ʦɔː 	Ø	Ø	ʨɛː	caː ~ ʨaː 	ʨaː
sago	nut 	nuk	nyk	nyk	nyk	nyk	nyk	nuk
saliva	kʰa-ʨʰu	kʰa-ʨʰuɹ 	da-ʦʰĩː	Ø	ta-zyː	ta-ʨʰyː	Ø	Ø
salt	ha	ha	hũː	huŋ	huŋ	hũː(ŋ)	hũː(ŋ)	huŋ
same, equal	ta-ba	taˀ-da-taˀ-da	a-tu	Ø	a-tu	Ø	a-tu  ~ a-tu-tu	Ø
sand	Ø	Ø	gɔ-pʰɐʰ	kʰ-pʰɐʰ ~ kʰ-fɐʰ	kʰə-pʰɔʰ	kʰə-bɔʰ	Ø	Ø
say	in	in	ɛn	ɛn	an	an ~ ɛn	an	an
scratch1	dɔk	dɔk	dɔk	Ø	Ø	Ø	dɔk	dɔk
scratch2	Ø	Ø	Ø	høː	hĩː	hyː	hɔːŋ	Ø
search	su	su	sɔː	Ø	sɔː	soː	saw 	Ø
see	aj	aj	Ø	Ø	Ø	ɔː	oː	oː
seed	li	li	a-liː	a-liː	a-riː	a-liː	a-liː 	a-liː 
serow 	ɕa-li	ɕa-ri	ʂə-raː	sə-rɛː	sə-rɛː	sə-rɛː	sə-raː	sə-raː
settle 	ʨʰak	ʨʰak	ʐɔ	tɹɔk	ʨʰak	ʨʰak	ʦʰak ~ ʨʰak	ʨʰak
seven	ɕis	ɕis	ʂik	sik	sik	sik	ɕit	ɕit
sew	ɕiŋ	ɕiŋ	Ø	ʨʰɛ̃ː	ʨʰĩː(ŋ)	ʨʰĩː(ŋ)	Ø	Ø
shade	ʨʰap	Ø	Ø	Ø	ʨʰap	Ø	ʨʰap	Ø
shake1 	kʰa	kʰa	Ø	Ø	kʰuː	kʰuː	kʰuː	Ø
shake2	tʰup kʰin 	kʰin 	maŋ-kʰi kʰi 	Ø	nam kɹi	Ø	nə-myː kʰi 	Ø
sharp1 	u-ɕu ~ u-ɕaŋ	u-ʨʰu	a-ʦʰɔ̃ː	a-ʨʰɔː	a-ʨʰɔ̃ː	a-ʨʰɔː ~ a-ʨʰoː	a-ʦʰaw ~ a-ʨʰaw	a-ʨʰaw
sharp2	u-ɕu ~ u-ɕaŋ	u-ʨʰu	a-ʦʰɔ̃ː	a-ʨʰɔː	a-ʨʰɔ̃ː	a-ʨʰɔː ~ a-ʨʰoː	a-ʨʰũː	a-ʨʰaw
sheep	ɕi-ki	ɕa-kɛj 	ʂ-kʰaː	s-kʰɛː	hɛ̃ː 	s-kʰɛˀ ~ s-kɛˀ 	s-kaː 	s-kaː
shelf 	Ø	pʰaŋ-kaŋ	Ø	Ø	pʰaŋ	Ø	pʰaŋ	Ø
Sherdukpen 	Ø	Ø	tʰɔː-mø-ʥi 	tʰɔ̃ŋ-ʥi  ~ tʰuwã-ʥi	Ø	tʰə-mø-ʥi 	møˀ	meˀ
Shergaon, people of	ɕɛl-pi	Ø	ʂɛ̃ː(n)-ʥi	sɛ̃ː(n)-ʥi	Ø	sɛ̃ː(n)-ʥi	sɛ̃ː(n)-ʥi	Ø
shoe, footwear	le-ham	le-ham	Ø	Ø	Ø	Ø	lə-lũː(ŋ)	Ø
shoot  	dik 	djɛk	ruk	rɛk	rɛk	rɛk	rɛk	rɛk
short 	Ø	Ø	a-tʰuŋ-du	a-tʰuŋ-du	Ø	a-tʰuŋ-du	a-tʰuŋ-du	a-tʰuŋ-du
shoulder 	pʰak-tuŋ	pʰak-tuŋ	Ø	pʰa-nyŋ	jə-pʰak	 ja-pʰak	lə-pʰak ~ lə-fak	lə-pʰak
shy, ashamed (vi)	jɛn	jɛn	wɛn	wɛn	wan	wɛn	wan	wan
sick (vi)	na	na	ku-nu	nu ~ ku-nu	ku-nu  ~ nuŋ	nuŋ	nu ~ nuŋ	nu
silver	ŋɔj ~ ŋuj	ŋɔj	niŋ	niŋ	niŋ	niŋ	ɲin ~ ɲiŋ	ɲin
sing	tej	tɛj	taː	tɛː	tɛː	Ø	taː	Ø
sister-in-law	a-ʑa	a-ʑa	a-ʐuː	a-zuː	a-zuː	a-zuː	a-zuː ~ a-zuː-mat	a-zuː-mat
sister, elder	a-wu	a-wu	a-byː	a-byː	Ø	Ø	Ø	Ø
sister, younger1 	ɔ-nɔw-ma 	a-nu  ~ ɔ-nɔw	Ø	Ø	a-num	a-num 	a-nuː a-ʨan-du 	Ø
sister, younger2 	Ø	Ø	Ø	mə-riŋ	mə-riŋ	mə-riŋ	mə-riŋ 	mə-riŋ
sit	Ø	duŋ-ʥu	dyŋ	dyŋ	dyŋ	dyŋ	dyŋ	duŋ
six	ʨʰup	ʨʰup ~ ʨʰuk	ʨʰyk	ʨʰyk	ʨʰyk	ʨʰyk	kʰyt	ʨʰuk
skin, bark	ɕa-kʰɔk	ɕa-kʰɔk	ʂ-kʰuk	s-kuk ~ s-kʰuk	sə-kuk ~ s-kuk	s-kuk ~ s-kʰuk	s-kuk	s-kuk
sky 	na-mu ~ na-mɔː 	na-mu 	na-myː	nə-myː	nə-myː	nə-myː	nə-myː 	ni-miː 
sleep	bin	bin 	ʣiŋ	ʥiŋ	ʥiŋ	ʥiŋ	ʣiŋ	ʣiŋ
slowly	haɕ-ta	has-ta	nɐ̃-du	a-nɐ̃-du	a-nɔ̃-du	nɔ̃-du	(a-) nɔ̃-du 	a-nɔ̃-du
small1 	ʥɛn- 	ʥɛn-	a-ʣɐ̃ː-du	a-ʨɐ̃ː(n)	a-ʥan-du	ʨɔ̃ː(n)-du	a-ʨan-du ~ a-ʦan-du	a-ʨan-du
small2 	ɕa-da	Ø	Ø	a-duː-du	Ø	a-duː	Ø	Ø
smell (n)	ɕis	ɕis	Ø	Ø	Ø	Ø	sĩː	Ø
smell1 (vi)	ham	ham	nan	nan	Ø	Ø	Ø	Ø
smell2 (vi)	Ø	Ø	Ø	niː	niː	niː 	ɲiŋ	ɲiŋ
smoke	bu-kʰu	bu-kʰu	ba-kʰyː	ba-kʰyː	ba-kʰyː	ba-kʰyː	ba-kʰyː 	ba-kʰyː
snake	Ø	Ø	bə-ʨʰan	pʰ-ʨʰɛn	pʰ-ʨʰam	pʰ-ʨʰam	bə-cʰam ~ bə-ʨʰam	pʰ-ʨʰam
snatch away	Ø	kʰɔw	Ø	Ø	Ø	Ø	kʰaw 	Ø
snow	nam-ʑu	nam-ʑu	na-jyː	nə-jyː	nə-jyː	nə-jyː	ny-jyː 	ni-jiː
soda ash	Ø	kʰa-ri	kʰa-riː	Ø	Ø	kʰ-riː	kʰ-riː	Ø
soft / smooth	Ø	Ø	a-duŋ-du	a-duŋ-du	a-duŋ-du	a-duŋ-du	a-duŋ-du	a-duŋ-du
soil, earth 	sa	sa	sɐ	sɐ	sɔ	sɔ	sɔ	so
son	dak-da	u-daˀ	a-du	a-du	a-du	a-du	du	a-du
son-in-law	a-ʨʰun	a-ʨʰyn	a-ʦʰyː	a-ʨʰyː	a-ʨʰyː	a-ʨʰyː	a-ʦʰyː ~ a-ʨʰyː 	a-ʨʰiː
song1 	lu	lu 	Ø	Ø	hũ	hũ	hũ	hɔ
song2 	bɔː	bɹɔː	Ø	Ø	Ø	bɹoː	bɹoː	Ø
soup, liquid, broth, juice	ɔ-kʰaw	ɔ-kʰɔw	daŋ a-kʰɔː	Ø	a-kʰoː	Ø	a-kʰoː ~ ɔ-kʰoː 	Ø
sour	ʨum-pa	ʨum-pa ~ ʨuɹ-pu	ba-ʨʰɛ̃ː	ʨʰɛ̃ĩ-ba ~ ʨʰɛ̃ĩ-kʰɛn	ʨʰĩː-kʰan ~ ʨʰĩː-tĩː	ʨʰĩː-ba ~ ʨʰĩː-kʰɛn	kʰɛ̃ː-baˀ ~ kʰɛ̃ː-ti	a-kʰɛ̃ː
sow, broadcast1	pʰus 	pʰus	pʰik	Ø	pʰik	Ø	pʰik 	Ø
sow, broadcast2	Ø	mɛɹ	xɛˀ	Ø	heˀ	heˀ	heˀ 	Ø
soybean 	ɕa-ʥɔk	ɕa-ʥɔk	ʂy-juk	sy-juk ~ ɕ-uk	s-uk	s-uk	sy-juk	s-uk
sparrow	dak-ʨʰi-liŋ	dak-ʨʰi-liŋ	Ø	hu-ʥiŋ	ʨɔm-ʨə-rɛː	ʨam-ʨə-rɛː	bə-ʦə-lɔː	ʨi-plɔː
speak	Ø	haw	gɐ̃ː	gɐ̃ː	Ø	steː gɔ̃ː	steː gɔ̃ː 	gɔ̃ː
spear	Ø	kʰɛj-ʥɔŋ	Ø	ʥɔŋ	ʥɔŋ	ʥɔŋ	ʥɔŋ	ʥɔŋ
spicy, pungent	jej-ba	jɛj-ba	jɐ-di	hɐ	hɔ	hɔ-ba	Ø	Ø
spider	(pʰu) saŋ-gɔm-pa ~ saŋ-kɔː-pa	(pʰu) saŋ-gom-bu ~ (pʰu) aŋ-zɔm	ga-pøː	na-tɹøŋ-zaŋ	tan-tɹĩ-sũŋ	na(ŋ)-tɹyː(ŋ) sɔŋ-sɔŋ	pɹeː-suŋ	tɹeː-sum
spirit, soul, shadow 	ɔ-guŋ	u-guŋ	a-wuŋ	a-wuŋ	a-wuŋ	uŋ 	u-juŋ	u-juŋ
spit	hin-tus tɔs	hin-tus tɔs	tʂʰøˀ	ʨʰøˀ	ʨʰeˀ	ʨʰøˀ	kʰøˀ 	kʰeˀ
spittle, spit	hin-tus	hin-tus	taː	tɛː	tɛː	tɛː	taː 	taː
split1 	ʨʰe	ʨʰe	Ø	ʨɛk	Ø	ʨʰeˀ 	ʨʰeˀ ~ ʨʰaˀ	-
split2 	Ø	Ø	jɔ	jɔ	jɔ	Ø	Ø	ho
squirrel 	Ø	ʦɔː-ʦɔː gɹɔŋ-tʰaŋ	ʦaŋ-kʰa	ʨaŋ-ka	ʨaŋ-kɛ	Ø	stɔp ʦaŋ-kʰa ~ stɔp ʨaŋ-kʰa	stɔp ʨaŋ-ka 
squirrel, flying	Ø	ʨʰɛɹ-gɛn	ʨʰy-jɔ̃ː	ʨʰy-jɔ̃ː	ʨʰy-jɔ̃ː	ʨʰə-ʨʰow ~ ʨʰə-ʨʰoː	kʰjaw	kʰlɛː
stab	ʥɔk	ʥɔk	dʐuk	ʥuk	Ø	Ø	ʥuk	ʥuk
stand (up)	kʰiŋ	kʰiŋ	tʂʰĩː	ʨʰĩː	ʨʰĩː	ʨʰĩː	kʰĩː 	kʰĩː
star	Ø	Ø	dy-ʐyk	də-zyk	ʨʰyŋ-zyk	ʨʰyŋ-zyk	zyk	ʨʰuŋ-zuk
steal 	wu	wu	jɔː	jɔː	jɔː	joː	jaw 	jaw
steam	Ø	haŋ-pa ~ ɬaŋ-pa	kɔ-hɔ̃ː	Ø	a-lũːŋ	laŋ-poː 	Ø	Ø
stich	Ø	Ø	ʦɐk	Ø	Ø	Ø	ʦak ~ ʨak	ʨak
stick	kʰaj	kʰɛj	kʰɐ	kʰɐ	kʰɔ	kʰɔ	kʰɔ 	Ø
stone	luŋ	luŋ	lyŋ	lyŋ	ryŋ	ryŋ	lyŋ	luŋ
story	tam	tam	kʰaɹ-tan	Ø	tuŋ-lu 	kʰaɹ-tam	Ø	Ø
straight	laŋ-ɕum	raŋ-bu	a-rɔ̃ː(ŋ)	a-rɔ̃ː(ŋ)	a-rũːŋ	a-rũːŋ	a-rũː	a-rɔ̃ː
stump (tree)	dum-ba	tʰum-ba	Ø	Ø	Ø	hiŋ tɔ-rɔm 	hiŋ tʰrɔm	Ø
suck1	Ø	Ø	tʂʰajŋ	ʨʰɛŋ	Ø	ʨʰɛŋ	kʰɛŋ	Ø
suck2	ʑɔp	ʑɔp	Ø	zyː	zyː	zyː	Ø	ziː
sugarcane	(ʨʰula) mej-ʥu	mɛj-ʥu	ma-ʦʰiː	mə-ʨʰiː-sɔː	mə-ʦʰiː/-ʨʰiː	pʰ-ʨʰiː	mə-ʦʰyː ~ mə-ʨʰiː ~ bə-ʨʰiː	mi-ʨʰiː
sun, day 	na-mi ~ na-me	na-mi	na-nyː	nə-nyː	nə-myː ~ nə-miː	nə-myː ~ nə-miː	nə-nyː	nə-niː
swallow	ʥu 	ʥu	dʐyː	gyː	gyː	gyː	gyː 	giː
sweet	Ø	Ø	a-ʦĩː	Ø	ʨĩː	ʨĩː	a-ʦĩː ~ a-ʨĩː 	a-ʨĩː
swell	pɕiŋ ~ ɕiŋ	pɕiŋ	pʰiŋ	pʰiŋ	pʰiŋ	pʰiŋ	pʰiŋ	pʰiŋ
tail 	ɲuj	ɲɔj	a-naː	a-nɛːʰ	a-nɛːʰ	a-nɛːʰ	a-ɲaː 	a-ɲaː
take 	tʰɔn 	tʰɔn	tʰøː	tʰøː	tʰĩː	tʰɛn-niː	tʰøː 	tʰeː
takin 	Ø	Ø	Ø	sə-ʨʰøn ~ sə-ɕøn	Ø	ʨʰə-ʨʰøm	Ø	Ø
taro 	ʨʰak	ʨʰak	ʦʰɐk	ʨʰɐk	ʨʰak	ʨʰak	ʥuː-ʦʰak ~ ʥuː-ʨʰak	ʥuː-ʨʰak
tasty	ɔ-bej-da 	ɔ-bɛj	a-blɐːʰ	a-blɐːʰ	a-blɔːʰ-du	a-bɹɔːʰ	a-blɔːʰ	a-blɔː
tear (vt)	ʑɛt	ʑɛt	zɛˀ 	Ø	zeˀ	zeˀ	zeˀ	Ø
tell	ɕat	Ø	ʂɐˀ	Ø	sɔˀ	sɔˀ	sɔˀ	sɔ
ten	san	san	sɐ̃ː	sɐ̃ː	sɔ̃ː	sɔ̃ː	sɔ̃ː 	sɔ̃ː
that	Ø	Ø	tʰiː	tʰiː	tʰyː	s-tʰyː ~ tʰyː-wɛː	tʰyː 	tʰuː
that side	ɔ-tʰja ~ tʰej ~ tʰaj	tʰe- ~ ɔw-tʰja ~ tʰɛj-	kʰaː	tʰiː-tʰɛː-lɔ	ɔ-tʰɛː-lɔ	tʰɛː ~ kʰlaŋ ~ kʰaː	kʰɔː ~ kʰlaː	kʰaː
that side	ɔ-tʰja ~ tʰej-  ~ tʰaj-	ɔw-tʰja ~ tʰɛj- ~ tʰe- 	kʰaː	tʰiː-tʰɛː-lɔ	ɔ-tʰɛː-lɔ	tʰɛː ~ kʰlaŋ ~ kʰaː	kʰɔː ~ kʰlaː	kʰaː
Thembang people	tʰje-maŋ-bi	tʰɛm-baŋ-pa	tʰɛm-baŋ-ʥi	tʰəbang-ʥi 	Ø	tʰam-baŋ-ʥi	Ø	Ø
thick	Ø	ɔ-tʰɛs 	a-tʰɛʔ	a-tʰɛʔ	a-tʰɛʔ	a-tʰɛʔ	a-tʰat	a-tʰɛt
thief	bu-ju	bi-ju	ʥy-jɔː	Ø	ʥy-wjɔː	Ø	ʥi-jaw 	Ø
thigh	le-pʰa	le-pʰa	Ø	la-pʰluː	la-pʰluː	la-pʰuː	lə-pʰuː	lə-pʰuː
thin	Ø	ʨʰap-bu	a-ʨʰa-du	a-ʨʰɛˀ-du	a-ʨʰap-du	a-ʨʰap-du	a-ʦʰap ~ a-ʨʰap ~ a-ʦʰap-du	a-ʨʰap-du
thing	ma	ma	Ø	Ø	mə-ʨʰiŋ	pʰ-ʨʰiŋ	mə-ʨʰiŋ ~ pʰ-ʨʰiŋ	Ø
think	Ø	Ø	tʰiŋ	tʰiŋ	tʰiŋ	tʰiŋ	tʰin	tʰin
thirsty (vi)	(kʰaw) jaŋ	(kʰow) jaŋ	(kʰɔː) jɔ̃ː	(kʰɔː) kʰ-jɔ̃ː	(kʰɔː) jũŋ	(kʰoː) jũŋ	(kʰoː) jũŋ	(kʰoː) jɔ̃ː
this	Ø	Ø	tʰaː-ʥi	tʰaː-ʥi	ɔ-tʰɛː	tʰə-ɛː	tʰwaː ~ tʰu-waː ~ tʰaː ~ ɔ-tʰ-gɔː ~ tʰū-gɔː ~ tʰə-gɔː	tʰaː-ji
thorn	pʰe-zɔ ~ pʰe-ʥɔ	pʰi-ʥɔˀ	ba-zɔ	bə-zɔ	bə-zɔː	bə-zoː	bə-zaw 	bə-zaw
thousand	tɔŋ-ta	tɔŋ-ta ~ tɔŋ-ʈa	tɔŋ-tʂʰaː	tɔŋ-ta	tɔŋ-tʰɔ	tɔŋ-tʰɔ	Ø	Ø
thread	hwaŋ	hwaŋ	xaŋ	haŋ	haŋ	haŋ	haŋ	haŋ
three	ɔm	ɔm	ũː	uŋ	uŋ	uŋ	uŋ	uŋ
throw	tɔs	tɔs 	tʰøˀ	tʰøˀ	tʰeˀ	Ø	tʰøˀ 	Ø
thunder (vi) 	Ø	Ø	Ø	Ø	nəmyː hyk	Ø	nə-myː hyp ~ nə-myː hyk (C.)	nimiː huk
tie (vt)	kʰak	kʰak	xɐk	hɐk	hak	kʰak	hak	hak
tiger	pʰu-ɲam	pʰu-ɲam	pʰũː	pʰɔ̃ː	pʰũː	pʰũː	pʰũː	pʰɔ̃ː
till (hoe)	Ø	Ø	ʨʰɔk	ʨʰɔk	ʨʰɔk	ʨʰɔk	ʨʰɔk	ʨʰɔk
tired (vi)	Ø	ʥɛj	ʣeː ~ ʣɛː	ʥeː 	ʥeː	Ø	ʣeː 	Ø
today	tʰa-la	tʰa-la	tʰa-luː	tʰ-luː	tʰ-ruː	tʰ-ruː	tʰə-luː	tʰə-luː
together with	de-kʰɔ	dɛp-kʰɔ	Ø	dɛː-gu	dɛp-gyː	dɛp-kʰɔ ~ dɛˀ-kʰɔ	dɛp-gɔ ~ dɛk-gɔ	dɛp-kʰɔ
tomorrow	nam-saŋ	nam-saŋ 	bə-saŋ	mə-saŋ	my-saŋ	p-saŋ	mə-saŋ ~ bə-saŋ-la	mə-saŋ
tongue	luj	lɔj	laː	lɛː	lɛː	lɛː	laː-pʰɔ̃ ~ laː-fɔ̃ː 	laː
tooth	ɕin-tuŋ	hin-tuŋ	ny-tʰyŋ	nə-tʰyŋ	nə-tʰyŋ	pʰ-tʰyŋ	Ø	nə-tʰuŋ
trivet	pɛɹ-ʨʰu-du ~ pɛl-ʨʰu-lu	pɛɹ-ʑam-ɕup ~ pɛɹ-ʑam-ʑu	dy-ʐyː	də-zyː	ʨĩ(ŋ)-zyː	ʨĩ(ŋ)-zyː	zə-zyː 	ʨi-zi
trunk (tree)	Ø	Ø	hiŋ la-tʰyŋ	hiŋ lə-tʰyŋ	hiŋ lə-tʰyŋ	hiŋ la-tʰyŋ	hiŋ-tʰyŋ	Ø
tuber 	ʥa	ʥa	ʥuː	ʥuː	ʥuː	ʥuː	ʥuː ~ ɟuː	ʥuː
tusk	Ø	Ø	neˀ	Ø	niˀ	niˀ	ɲeˀ	Ø
twenty	kʰej ~ kʰaj	kʰɛj	kʰɐ̃ː	kʰɐ̃ː	kʰaː	kʰɔ̃ː	kʰaːj	kʰaː
twist	Ø	kʰik 	tʂʰiˀ	Ø	ʨʰiˀ 	ʨʰeˀ 	kʰeˀ 	Ø
two	ɲis	ɲis	nik	nik	nik	nik	ɲik	ɲit
under, below	kʰa	kʰa	kʰuː	kʰuː	kʰuː	kʰuː	kʰuː	kʰuː
up there1 	lja ~ ljɛ ~ lɛj	lja ~ lje ~ ljɛ ~ lɛj	laŋ	laŋ	laŋ	Ø	laŋ	laŋ
up there2 	Ø	Ø	Ø	tʰaŋ	tʰaŋ	tʰaŋ	tʰaŋ	tʰaŋ
up; ascend	kʰuŋ	kʰuŋ	kʰyŋ	kʰyŋ	kʰyŋ	kʰyŋ	kʰyŋ	kʰuŋ
uproot	pʰɔk	pʰɔk	Ø	Ø	pʰiŋ	Ø	pʰiŋ ~ pʰyŋ	Ø
urine	ʑi 	ʑi	ziː 	ziː	ziː	ziː	ziː 	ziː
vagina	tʰu	tʰu	Ø	Ø	Ø	Ø	tʰaw	tʰaw
vegetable, leafy 	daŋ	daŋ	daŋ	daŋ	daŋ ~ də-hɔ̃	də-hɔ̃	dɔŋ-hɔ̃ ~ də́-hɔ̃ ~ dɔ-hɔ̃	da-hɔ̃
veranda	jaŋ-ʨʰɔŋ	jaŋ-ʨʰɔŋ 	da-ʣɔ̃ː	da-ʥɔ̃ːŋ	ʥũːŋ	la-pʰɔŋ	ʥũː(ŋ)-baw	ʥɔ̃ː-kʰiŋ
village 	tʰup 	tʰup ~ tʰuk	tʰyk	tʰyk	tʰyk	tʰyk	tʰyk	tʰuk
vomit	Ø	Ø	jɔk	jɔk	jɔk	jɔk	jɔk	jɔk
waist	buk-tʰuŋ	buk-tuŋ 	bə-kʰɐk-tʰyn 	mə-kʰɐk-tyŋ	Ø	Ø	mə-kʰak-tyŋ	mə-kʰak-tuŋ
wait1	Ø	ʥak ~ ʥap	Ø	ʥɐk	ʥak	ʥak	ʥak	ʥak
wait2	laŋ	naŋ	laŋ	Ø	laŋ	Ø	laŋ	Ø
wake up	jɔw	jɔw	jɔ	jɔ	jɔ	jo	jaw 	jaw
walk, move, go	wa	wa	rɐˀ	rɐˀ	rɔˀ	rɔˀ	rɔˀ 	rɔ
walking stick	Ø	kʰɛj-duŋ ~ kʰɛj-ʥɔŋ	Ø	Ø	gə-ʥyŋ	gə-ʥyŋ	gə-ʥyŋ ~ zə-gyŋ	gə-ʥuŋ
walnut	maŋ-kʰa	maŋ-kʰa	ma-kʰuː	mə-kʰuː 	mə-kʰuː 	mə-kʰuː 	mə-kʰuː	mə-kʰuː
warm, hot (adj.)	u-ʨʰik	u-ʨʰik	ʦʰik-dy ~ a-ʦʰik 	a-ʨʰik	a-ʨʰik	a-ʨʰik	a-ʨʰik	a-ʨʰik
warm, hot (vi)	ʨʰik	ʨʰik	Ø	Ø	ʨʰik	ʨʰik	ʨʰik ~ ʦʰik	Ø
wash1	ʨʰɔl	ʨʰɔɹ	ʦʰøː	ʨʰøː(n)	Ø	Ø	ʨʰeː ~ ʨʰøː ~ ʦʰøː(n)	ʨʰeː
wash2	ʨʰi	ʨʰi 	Ø	Ø	ʨʰĩː(ŋ) 	ʨʰyː 	Ø	Ø
water	kʰaw	kʰɔw	kʰɔː	kʰɔː	kʰoː	kʰoː	kʰoː 	kʰoː
wealthy	ʨʰuk-pu	ɕik-pu 	Ø	Ø	ʨʰyk-pu	ʨʰyk-pu	ʨʰik-pu 	Ø
wear 	was	was	jɐ̃	jɐ̃	Ø	Ø	jɔ̃ 	Ø
weave 	dak	Ø	rɐk	rɐk	rak	rak	rak	rak
weed, grass	ʥam	ʥamu ~ ʥam 	ʥɐŋ	ʥɐŋ	ʥũŋ	ʥũŋ	ʥaŋ ~ ɟaŋ	ʥaŋ
wet1	u-ɕiŋ	u-ɕiŋ	Ø	Ø	a-siŋ	a-siŋ	Ø	a-siŋ
wet2	Ø	Ø	kʰa-lɛˀ	kʰ-leˀ	kʰ-leˀ	pʰ-lɛˀ 	Ø	Ø
wheat	Ø	Ø	Ø	Ø	mu-kuː	mə-kuː	bə-kuː	bə-kuː
when	a-daŋ	a-daŋ	a-dɔ̃ː(ŋ)	a-dɔ̃ː(ŋ)	a-dũː(ŋ)	a-dũː(ŋ)	a-dũː(ŋ)	a-dɔ̃ː
where	a	ha	a-lɔː	Ø	tʰa-a-lɔː	Ø	Ø	Ø
white	jaŋ-kal	jaŋ-kaɹ	a-zɐ̃ː	a-zɐ̃ː	a-zɔ̃ː	a-zɔ̃ː	a-zɔ̃ː	a-zɔ̃ː
who	mi	mi	niː	niː	miː	miː	ɲiː	ɲiː
wife	u-ja 	u-ja	a-juː	a-juː	a-juː	a-juː ~ a-ruː	a-juː	a-juː
wind	nam-suŋ~ nam-sum	nam-suŋ ~ nam-sum	na-søn	nə-søn ~ ny-søn	ny-sɔm ~ nə-sɔm	p-søm	nə-sɔm	nə-sɔm
window	kal-ʨuŋ	kɔː-ʨuŋ ~ ku-ʨuŋ	kɔː-ʨyŋ	kɔː-ʨyŋ	kɔː-ʨyŋ	koː-ʨyŋ	kaw-du 	koː-ʨuŋ
wing	ɲuj-pʰa	Ø	ny-pʰaŋ	ny-pʰaŋ	nə-pʰaŋ	mə-pʰaŋ	nə-pʰaŋ ~ də-pʰaŋ ~ də-faŋ	lə-pʰaŋ
wipe	Ø	Ø	Ø	Ø	yː ~ yŋ	yː	yː	iː
woman	ʥu-mu ~ ʥə-mu 	ʥu-mu 	ʥə-myː	ʥə-myː	ʥə-myː	ʥə-myː	ʥə-myː 	ʥə-miː
wood	hiŋ	ɕiŋ 	hiŋ	hiŋ	hiŋ	hiŋ	hiŋ	hiŋ
wool	ʥak	ʥak	ʥɐk	ʥɐk	ʥak	ʥak	ɟak ~ ʥak	ʥak
word	ŋak-ʦʰik	ʦʰik 	nɔ-ʦʰik	Ø	nɔ-ʨʰik	nuk-ʨʰik	ɲuk-ʦʰik	Ø
work	Ø	pat 	blɛt	Ø	Ø	Ø	blat	blat
wring, squeeze	ʨil	ʨiɹ	Ø	ʨĩˀ	ʨĩˀ	ʨĩˀ	Ø	Ø
year	tɔm	tɔm	tuŋ	tuŋ	tuŋ	tuŋ	tuŋ	tuŋ
year, next	nam-saŋ-ba	nam-saŋ-pa 	Ø	Ø	mə-saŋ-bu	p-saŋ-bu	Ø	Ø
year, this	tʰal-pu	tʰaɹ-pu 	tʰam-bu tuŋ	Ø	tʰam-bu tuŋ	tʰam-bu tuŋ	tʰam-bu tuŋ	Ø
yellow	Ø	Ø	a-xaː	ɛ-hɛːʰ	ɛ-hɛːʰ	ɛ-hɛːʰ	a-haːʰ 	a-haː
yesterday	di-ju	dɛj-ju	dy-jɔː	dy-jɔː	ʥy-jɔː	ʥoː-hɔː ~ ʥoː	dy-jaw 	Ø
